name,team,games_played,at_bats,plate_appearances,hits,singles,doubles,triples,home_runs,runs_scored,rbi,walks,intentional_walks,strikeouts,hbp,sac_fly,sac_hit,gdp,stolen_bases,caught_stealing,batting_average
Jarren Duran,Red Sox,160,671,735,191,108,48,14,21,111,75,54,1,160,6,3,1,6,34,7,0.285
Shohei Ohtani,Dodgers,159,636,731,197,98,38,7,54,134,130,81,10,162,6,5,0,7,59,4,0.31
Gunnar Henderson,Orioles,159,630,719,177,102,31,7,37,118,92,78,1,159,7,4,0,2,21,4,0.281
Marcus Semien,Rangers,159,650,718,154,102,27,2,23,101,74,64,2,105,3,1,0,9,8,3,0.237
Juan Soto,Yankees,157,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,10,7,4,0.288
Bobby Witt Jr.,Royals,161,636,709,211,123,45,11,32,125,109,57,9,106,8,8,0,4,31,12,0.332
Aaron Judge,Yankees,158,559,704,180,85,36,1,58,122,144,133,20,171,9,2,0,22,10,0,0.322
Vladimir Guerrero Jr.,Blue Jays,159,616,697,199,124,44,1,30,98,103,72,12,96,5,4,0,16,2,2,0.323
Elly De La Cruz,Reds,160,618,696,160,89,36,10,25,105,76,69,2,218,6,1,2,12,67,16,0.259
Pete Alonso,Mets,162,608,695,146,81,31,0,34,91,88,70,4,172,13,4,0,14,3,0,0.24
Ezequiel Tovar,Rockies,157,655,695,176,101,45,4,26,83,78,23,1,200,4,7,5,16,6,5,0.269
Kyle Schwarber,Phillies,150,573,692,142,82,22,0,38,110,104,106,4,197,5,8,0,6,5,3,0.248
Bryan Reynolds,Pirates,156,622,692,171,115,29,3,24,73,88,57,3,156,10,3,0,7,10,2,0.275
Francisco Lindor,Mets,152,618,689,169,96,39,1,33,107,91,56,0,127,12,3,0,7,29,4,0.273
Anthony Volpe,Yankees,160,637,689,155,109,27,7,12,90,60,42,1,156,4,3,2,9,28,7,0.243
Marcell Ozuna,Braves,162,606,688,183,113,31,0,39,96,104,74,2,170,3,4,0,23,1,0,0.302
Willy Adames,Brewers,161,610,688,153,88,33,0,32,93,112,74,3,173,1,3,0,12,21,4,0.251
Matt Olson,Braves,162,600,685,148,81,37,1,29,78,98,71,5,170,9,5,0,15,0,0,0.247
Corbin Carroll,Diamondbacks,158,589,684,136,78,22,14,22,121,74,73,0,130,10,9,3,3,35,8,0.231
Jose Altuve,Astros,153,628,682,185,134,31,0,20,94,65,47,2,119,7,0,0,15,22,7,0.295
