name,location,team,division,wins,losses,era,games_played,games_started,quality_starts,complete_games,shutouts,saves,holds,blown_saves,innings_pitched,total_batters_faced,hits,runs,earned_runs,home_runs,walks,intentional_walks,hbp,wild_pitches,balks,strikeouts
Joe Musgrove,San Diego,Padres,NL West,6,5,3.88,19,19,10,0,0,0,0,0,99.2,410,94,44,43,14,23,0,10,0,0,101
Cooper Criswell,Boston,Red Sox,AL East,6,5,4.08,26,18,1,0,0,0,0,0,99.1,424,103,52,45,10,31,0,7,2,0,73
Keider Montero,Detroit,Tigers,AL Central,6,6,4.76,19,16,4,1,1,0,0,0,98.1,412,100,54,52,19,31,0,3,2,0,77
Randy Vásquez,San Diego,Padres,NL West,4,7,4.87,20,20,6,0,0,0,0,0,98,431,119,56,53,13,29,1,6,5,2,62
Logan Allen,Cleveland,Guardians,AL Central,8,5,5.73,20,20,5,0,0,0,0,0,97.1,432,113,63,62,22,41,0,4,4,0,79
Edward Cabrera,Miami,Marlins,NL East,4,8,4.95,20,20,5,0,0,0,0,0,96.1,418,82,60,53,15,50,0,5,1,1,107
Dane Dunning,Texas,Rangers,AL West,5,7,5.31,26,15,2,0,0,0,0,0,95,421,97,60,56,18,40,1,6,2,0,91
Gerrit Cole,New York,Yankees,AL East,8,5,3.41,17,17,8,0,0,0,0,0,95,390,78,38,36,11,29,1,6,0,0,99
Tyler Holton,Detroit,Tigers,AL Central,7,2,2.19,66,9,0,0,0,8,14,0,94.1,354,57,25,23,7,17,1,4,0,0,77
Carson Spiers,Cincinnati,Reds,NL Central,5,7,5.46,22,10,2,0,0,0,0,0,90.2,410,112,59,55,20,27,0,5,0,0,80
Justin Verlander,Houston,Astros,AL West,5,6,5.48,17,17,6,0,0,0,0,0,90.1,396,98,56,55,15,27,0,6,2,1,74
Yoshinobu Yamamoto,Los Angeles,Dodgers,NL West,7,2,3,18,18,7,0,0,0,0,0,90,368,78,32,30,7,22,0,1,2,0,105
Derek Law,Washington,Nationals,NL East,7,4,2.6,75,0,0,0,0,1,17,4,90,365,82,31,26,7,24,0,1,6,0,76
Dakota Hudson,Colorado,Rockies,NL West,2,12,6.17,18,18,4,0,0,0,0,0,89,404,99,66,61,11,50,0,5,3,0,49
